"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.65717872209581 41.77512344871336)","2,832","OGDEN (WILLIAM)","8","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.65717872","41.77512345","3,478"
"POINT (-87.6549657804743 41.776542054674)","2,833","OGDEN (WILLIAM)","8","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.65496578","41.77654205","3,479"
"POINT (-87.65537987587467 41.77516982938316)","2,834","OGDEN (WILLIAM)","8","FITNESS CENTER","INDOOR","-87.65537988","41.77516983","3,480"
"POINT (-87.65525768709344 41.775026655553)","2,835","OGDEN (WILLIAM)","8","GYMNASIUM","INDOOR","-87.65525769","41.77502666","3,481"
"POINT (-87.65626345670663 41.774068854848565)","2,836","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.65626346","41.77406885","3,482"
"POINT (-87.6580783302879 41.77443063607128)","2,837","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.65807833","41.77443064","3,483"
"POINT (-87.65809348940289 41.77481048508388)","2,838","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.65809349","41.77481049","3,484"
"POINT (-87.65811220891403 41.775763580005275)","2,839","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.65811221","41.77576358","3,485"
"POINT (-87.65626270491141 41.77596048833617)","2,840","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.6562627","41.77596049","3,486"
"POINT (-87.65627823154048 41.77630451353233)","2,841","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.65627823","41.77630451","3,487"
"POINT (-87.65706658373512 41.77688954587488)","2,842","OGDEN (WILLIAM)","8","BASEBALL JR/SOFTBALL","OUTDOOR","-87.65706658","41.77688955","3,488"
"POINT (-87.65492269572846 41.77504259048866)","2,843","OGDEN (WILLIAM)","8","POOL (OUTDOOR)","OUTDOOR","-87.6549227","41.77504259","3,489"
"POINT (-87.65485420397287 41.77427549940839)","2,844","OGDEN (WILLIAM)","8","PLAYGROUND","OUTDOOR","-87.6548542","41.7742755","3,490"
"POINT (-87.65729111443096 41.77738527224098)","2,845","OGDEN (WILLIAM)","8","PLAYGROUND","OUTDOOR","-87.65729111","41.77738527","3,492"
"POINT (-87.65807143685566 41.77326265188109)","2,846","OGDEN (WILLIAM)","8","BASEBALL SR","OUTDOOR","-87.65807144","41.77326265","3,493"
"POINT (-87.65814643712855 41.776150706940996)","2,847","OGDEN (WILLIAM)","8","BASEBALL SR","OUTDOOR","-87.65814644","41.77615071","3,494"
